22:18:01 | INFO    | db.engine              | PostgreSQL pool opened -> localhost:5432/samsung_kb
22:18:10 | INFO    | rag.embedder           | loading embedding model sentence-transformers/all-MiniLM-L6-v2 on cpu
22:18:43 | INFO    | api.main               | database ready: localhost:5432/samsung_kb
22:18:43 | INFO    | api.main               | llm: llama3.2:3b ready
22:18:43 | INFO    | api.main               | console -> http://127.0.0.1:8000/
22:18:45 | INFO    | api.routes             | trace subscriber connected (Address(host='testclient', port=50000))
22:18:45 | INFO    | api.routes             | trace subscriber disconnected
22:18:45 | INFO    | api.main               | shutdown complete
22:18:45 | INFO    | db.engine              | PostgreSQL pool opened -> localhost:5432/samsung_kb
22:18:45 | INFO    | db.engine              | schema applied from schema.sql
22:18:49 | WARNING | app                    | LLM unavailable: simulated outage
22:18:49 | WARNING | app                    |   the API and database still work, but answers will be
22:18:49 | WARNING | app                    |   returned as raw database rows instead of prose.
22:18:49 | WARNING | app                    |   fix with:  ollama serve   and   ollama pull llama3.2:3b
